"customer_id","first_name","last_name","category","rental_count"
506,"Leslie","Seward","Action","7"
526,"Karl","Seal","Animation","8"
38,"Martha","Gonzalez","Children","7"
5,"Elizabeth","Brown","Classics","7"
197,"Sue","Peters","Comedy","7"
243,"Lydia","Burke","Documentary","8"
133,"Pauline","Henry","Drama","7"
181,"Ana","Bradley","Family","7"
168,"Regina","Berry","Foreign","6"
469,"Wesley","Bull","Games","9"
134,"Emma","Boyd","Horror","5"
71,"Kathy","James","Music","6"
20,"Sharon","Robinson","New","7"
148,"Eleanor","Hunt","Sci-Fi","7"
454,"Alex","Gresham","Sports","7"
375,"Aaron","Selby","Travel","7"
