"first_name","last_name","customer_id","customer_id-2"
"Gail","Knight",155,155
"Gregory","Mauldin",335,335
"Zachary","Hite",479,479
"Louise","Jenkins",83,83
"Willie","Howell",219,219
"Emily","Diaz",99,99
"Laurie","Lawrence",192,192
"Lisa","Anderson",11,11
"Freddie","Duggan",597,597
"Heather","Morris",53,53
"Lucy","Wheeler",208,208
"Roland","South",521,521
"Natalie","Meyer",216,216
"Scott","Shelley",330,330
"Louis","Leone",373,373
"Cathy","Spencer",163,163
"Guy","Brownlee",550,550
"Justin","Ngo",354,354
"Jerry","Jordon",337,337
"Alicia","Mills",152,152
"Jeanne","Lawson",200,200
"Dustin","Gillette",474,474
"Morris","Mccarter",576,576
"Judy","Gray",69,69
"Julie","Sanchez",52,52
"Ramona","Hale",296,296
"Sonia","Gregory",284,284
"Margie","Wade",267,267
"Jordan","Archuleta",560,560
"Andy","Vanhorn",582,582
"Elmer","Noe",516,516
"Peggy","Myers",101,101
"Sergio","Stanfield",587,587
"Laura","Rodriguez",22,22
"Anna","Hill",33,33
"Gail","Knight",155,155
"Marilyn","Ross",80,80
"Mildred","Bailey",60,60
"Grace","Ellis",114,114
"Barry","Lovelace",438,438
"Edward","Baugh",317,317
"Cassandra","Walters",269,269
"Bill","Gavin",457,457
"Curtis","Irby",410,410
"Allison","Stanley",228,228
"Courtney","Day",245,245
"Gilbert","Sledge",497,497
"Ivan","Cromwell",570,570
"Wanda","Patterson",87,87
"Viola","Hanson",244,244
"Stacey","Montgomery",211,211
"Justin","Ngo",354,354
"Cecil","Vines",512,512
"Leonard","Schofield",405,405
"Craig","Morrell",388,388
"Marion","Snyder",178,178
"Stacy","Cunningham",180,180
"Lois","Butler",91,91
"Elmer","Noe",516,516
"Cynthia","Young",28,28
"Sonia","Gregory",284,284
"Natalie","Meyer",216,216
"Marcia","Dean",236,236
"Ana","Bradley",181,181
"Joshua","Mark",336,336
"Cassandra","Walters",269,269
"Wendy","Harrison",115,115
"Florence","Woods",107,107
"Bernard","Colby",440,440
"Beverly","Brooks",73,73
"Annette","Olson",175,175
"Chris","Brothers",394,394
"Tyler","Wren",496,496
"Elizabeth","Brown",5,5
"Norman","Currier",411,411
"Travis","Estep",417,417
"Tamara","Nguyen",229,229
"Lawrence","Lawton",361,361
"Judith","Cox",64,64
"Carolyn","Perez",42,42
"Colleen","Burton",227,227
"Juanita","Mason",135,135
"Clinton","Buford",537,537
"Brandon","Huey",366,366
"Marie","Turner",44,44
"Morris","Mccarter",576,576
"Naomi","Jennings",274,274
"Tammy","Sanders",75,75
"Dianne","Shelton",279,279
"Darryl","Ashcraft",530,530
"Miguel","Betancourt",448,448
"Albert","Crouse",352,352
"Allan","Cornish",548,548
"Joel","Francisco",431,431
"Margie","Wade",267,267
"Charlie","Bess",495,495
"Mattie","Hoffman",252,252
"Betty","White",14,14
"Helen","Harris",15,15
"Fred","Wheat",369,369
"Derrick","Bourque",476,476
"Beth","Franklin",199,199
"Gary","Coy",324,324
"Helen","Harris",15,15
"Jessie","Milam",533,533
"Annette","Olson",175,175
"Dwayne","Olvera",554,554
"Vickie","Brewer",251,251
"Heather","Morris",53,53
"Brent","Harkins",493,493
"Jay","Robb",450,450
"Tom","Milner",452,452
"Becky","Miles",287,287
"Holly","Fox",186,186
"Raymond","Mcwhorter",334,334
"Lauren","Hudson",162,162
"Gwendolyn","May",264,264
"Cory","Meehan",527,527
"Felix","Gaffney",557,557
"Milton","Howland",508,508
"Jeanette","Greene",191,191
"Gina","Williamson",213,213
"Ian","Still",561,561
"Jordan","Archuleta",560,560
"Kenneth","Gooden",315,315
"Tammy","Sanders",75,75
"Melanie","Armstrong",188,188
"Bill","Gavin",457,457
"Christian","Jung",534,534
"Alberto","Henning",568,568
"Perry","Swafford",585,585
"Terrance","Roush",592,592
"Neil","Renner",532,532
"Miguel","Betancourt",448,448
"Mildred","Bailey",60,60
"Terry","Grissom",355,355
"Lawrence","Lawton",361,361
"Mario","Cheatham",441,441
"Joe","Gilliland",349,349
"Greg","Robins",472,472
"Michelle","Clark",21,21
"Adrian","Clary",525,525
"Robin","Hayes",100,100
"Kyle","Spurlock",424,424
"Yolanda","Weaver",190,190
"Tammy","Sanders",75,75
"Allison","Stanley",228,228
"Cathy","Spencer",163,163
"Hilda","Hopkins",263,263
"Tracy","Cole",108,108
"Larry","Thrasher",327,327
"Allen","Butterfield",412,412
"Jean","Bell",58,58
"Norma","Gonzales",94,94
"Carolyn","Perez",42,42
"Enrique","Forsythe",596,596
"Jenny","Castro",282,282
"Melvin","Ellington",422,422
"April","Burns",142,142
"Seth","Hannon",590,590
"Florence","Woods",107,107
"Sarah","Lewis",23,23
"Carmen","Owens",111,111
"Angela","Hernandez",29,29
"Christine","Roberts",43,43
"Kristin","Johnston",214,214
"Willie","Markham",359,359
"John","Farnsworth",300,300
"Lee","Hawks",421,421
"Gloria","Cook",56,56
"Lucy","Wheeler",208,208
"Katie","Elliott",193,193
"Daisy","Bates",295,295
"Christine","Roberts",43,43
"Claudia","Fuller",234,234
"Sylvia","Ortiz",120,120
"Daryl","Larue",579,579
"Margaret","Moore",9,9
"Jessie","Banks",215,215
"Rafael","Abney",505,505
"Stephanie","Mitchell",41,41
"Regina","Berry",168,168
"Jeremy","Hurtado",374,374
